Basic,Basic1,Reading,b1ralm,b1ralmt001,chicken and fish,DragAndDropMultiple
Basic,Basic1,Reading,b1ralm,b1ralmt002,Americans,RadioSingle
Basic,Basic1,Reading,b1ralm,b1ralmt003,Americans are trying to be healthy.,RadioSingle
Basic,Basic1,Reading,b1ralm,b1ralmt004,They are exercising.,RadioSingle
Basic,Basic1,Listening,b1lrsp,b1lrspt001,5,RadioSingle
Basic,Basic1,Listening,b1lrsp,b1lrspt002,FALSE,RadioSingle
Basic,Basic1,Listening,b1lrsp,b1lrspt003,TRUE,RadioSingle
Basic,Basic1,Listening,b1lrsp,b1lrspt004,Johnson is a good player,DragAndDropMultiple
Basic,Basic1,Grammar,b1gpal,b1gpalt001,What are the boys doing|Are they listening|they aren't listening,DragAndDropMultiple
Basic,Basic1,Grammar,b1gpal,b1gpalt002,When are you going|taking|Are you going,DragAndDropMultiple
Basic,Basic1,Grammar,b1gpal,b1gpalt003,ming|are watching,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt004,What are you doing|I'm looking for Brazil on the map|you're looking,DragAndDropMultiple
Basic,Basic1,Grammar,b1gpal,b1gpalt005,are living|is living,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt006,are not drinking|'re drinking,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt007,are not dancing|am having,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt008,'m going|Are you taking|'re staying,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt009,Are you using this telephone|am waiting,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt010,Are you walking to work|ing,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt011,Are you eating your vegetables|am eating,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt012,stopping|are walking,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt013,is not studying|is studying,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt014,am not listening|am listening,comboBox
Basic,Basic1,Grammar,b1gpal,b1gpalt015,is not smiling|is thinking,comboBox
Basic,Basic2,Reading,b2rpcm,b2rpcmt001,FALSE,RadioSingle
Basic,Basic2,Reading,b2rpcm,b2rpcmt002,Timmy doesn't like the food.,RadioSingle
Basic,Basic2,Reading,b2rpcm,b2rpcmt003,the sports,RadioSingle
Basic,Basic2,Reading,b2rpcm,b2rpcmt004,He hurt his foot,RadioSingle
Basic,Basic2,Reading,b2rpcm,b2rpcmt005,when he played soccer,RadioSingle
Basic,Basic2,Listening,b2lrad,b2lradt001,all kinds of homes,DragAndDropMultiple
Basic,Basic2,Listening,b2lrad,b2lradt002,They have safe apartments on quiet streets.,RadioSingle
Basic,Basic2,Listening,b2lrad,b2lradt003,D.C,RadioSingle
Basic,Basic2,Listening,b2lrad,b2lradt004,Maggie Jim or Bob,RadioSingle
Basic,Basic2,Listening,b2lrad,b2lradt005,a safe quiet place to live,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt001,didn't you|I did|changed|gave,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt002,bought|did he pay|have|charged,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt003,do|invited|serve|didn't serve|gave,comboBox
Basic,Basic2,Grammar,b2gpal,b2gpalt004,did|bring|brought,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt005,buy|paid|did|he|get,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt006,Did you sell|sold|looked,comboBox
Basic,Basic2,Grammar,b2gpal,b2gpalt007,Did you enjoy|didn't send,comboBox
Basic,Basic2,Grammar,b2gpal,b2gpalt008,did|you|get|stood|came,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt009,went|ran|played,DragAndDropMultiple
Basic,Basic2,Grammar,b2gpal,b2gpalt010,did|find out|didn't tell|told,DragAndDropMultiple
Basic,Basic3,Reading,b3rdat,b3rdatt001,8:00,DragAndDropMultiple
Basic,Basic3,Reading,b3rdat,b3rdatt002,There aren't any ushers.,RadioSingle
Basic,Basic3,Reading,b3rdat,b3rdatt003,FALSE,RadioSingle
Basic,Basic3,Reading,b3rdat,b3rdatt004,latest,DragAndDropMultiple
Basic,Basic3,Reading,b3rdat,b3rdatt005,Everyone is tired of movies.,RadioSingle
Basic,Basic3,Listening,b3lasa,b3lasat001,FALSE,RadioSingle
Basic,Basic3,Listening,b3lasa,b3lasat002,five,DragAndDropMultiple
Basic,Basic3,Listening,b3lasa,b3lasat003,a teenager,DragAndDropMultiple
Basic,Basic3,Listening,b3lasa,b3lasat004,Employees get paid extra if they work overtime.,RadioSingle
Basic,Basic3,Listening,b3lasa,b3lasat005,Yes,RadioSingle
Basic,Basic3,Grammar,b3gpal,b3gpalt001,was changing|rang,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt002,arrived|was climbing,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt003,were you standing|was beginning,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt004,were working|was relaxing,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt005,didn't want to|was having|Was,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt006,spoke|was studying|called,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt007,coming|saw,DragAndDropMultiple
Basic,Basic3,Grammar,b3gpal,b3gpalt008,met|was teaching|was going out,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt009,was dressing|was sitting,comboBox
Basic,Basic3,Grammar,b3gpal,b3gpalt010,Were you having|weren't|were working,comboBox
Intermediate,Intermediate1,Reading,i1raff,i1rafft001,glass,RadioSingle
Intermediate,Intermediate1,Reading,i1raff,i1rafft002,He asks teenagers themselves.,RadioSingle
Intermediate,Intermediate1,Reading,i1raff,i1rafft003,Fashion Fads',RadioSingle
Intermediate,Intermediate1,Reading,i1raff,i1rafft004,teenagers,RadioSingle
Intermediate,Intermediate1,Reading,i1raff,i1rafft005,exported,RadioSingle
Intermediate,Intermediate1,Listening,i1lrad,i1lradt001,for a summer vacation,RadioSingle
Intermediate,Intermediate1,Listening,i1lrad,i1lradt002,fifty dollars for each person,RadioSingle
Intermediate,Intermediate1,Listening,i1lrad,i1lradt003,swimming sailing and waterskiing,RadioSingle
Intermediate,Intermediate1,Listening,i1lrad,i1lradt004,because they can make crafts and play in the gardens,RadioSingle
